DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;
Casos Prováveis por Município infecção e Class. Final;;;;;;;;;;
Período:2015;;;;;;;;;;
Município infecção;Ign/Branco;Dengue Clássico;Dengue com complicações;Febre Hemorrágica do Dengue;Síndrome do Choque do Dengue;Dengue;Dengue com sinais de alarme;Dengue grave;Inconclusivo;Total
350890 Caiabu;-;1;-;-;-;11;-;-;1;13
350900 Caieiras;-;25;-;-;-;261;-;-;-;286
350910 Caiuá;-;-;-;-;-;6;-;-;8;14
350920 Cajamar;-;4;-;-;-;2951;-;-;1;2956
350925 Cajati;-;-;-;-;-;12;-;-;-;12
350930 Cajobi;-;-;-;-;-;138;1;-;-;139
350940 Cajuru;-;38;-;-;-;779;1;-;1;819
350945 Campina do Monte Alegre;-;-;-;-;-;2;-;-;-;2
350950 Campinas;-;225;-;-;-;58612;780;37;1;59655
350960 Campo Limpo Paulista;-;-;-;-;-;419;-;3;1;423
350970 Campos do Jordão;-;-;-;-;-;6;-;-;-;6
350980 Campos Novos Paulista;-;-;-;-;-;31;-;-;-;31
350990 Cananéia;-;13;-;-;-;18;1;-;-;32
350995 Canas;-;-;-;-;-;24;-;-;3;27
351000 Cândido Mota;-;1;-;-;-;4200;-;-;-;4201
351010 Cândido Rodrigues;-;-;-;-;-;22;-;-;-;22
351015 Canitar;-;2;-;-;-;6;-;-;-;8
351020 Capão Bonito;-;-;-;-;-;69;1;-;-;70
351030 Capela do Alto;-;-;-;-;-;8;-;-;2;10
351040 Capivari;-;-;-;-;-;1132;-;-;-;1132
351050 Caraguatatuba;-;22;-;-;-;2331;6;9;17;2385
351060 Carapicuíba;-;2;-;-;-;2354;-;1;-;2357
351070 Cardoso;-;-;-;-;-;47;-;-;-;47
351080 Casa Branca;-;11;-;-;-;791;1;-;-;803
351100 Castilho;-;1;-;-;-;570;1;-;1;573
351110 Catanduva;-;2;-;-;-;10974;54;41;3;11074
351120 Catiguá;-;-;-;-;-;197;-;1;-;198
351130 Cedral;-;-;-;-;-;411;8;1;-;420
351140 Cerqueira César;-;-;-;-;-;12;-;-;-;12
351150 Cerquilho;-;-;-;-;-;181;-;-;1;182
351160 Cesário Lange;-;-;-;-;-;16;-;-;-;16
351170 Charqueada;-;-;-;-;-;60;-;-;-;60
355720 Chavantes;-;-;-;-;-;79;-;-;-;79
351190 Clementina;-;9;-;-;-;13;-;-;-;22
351200 Colina;-;-;-;-;-;580;-;1;-;581
351210 Colômbia;-;-;-;-;-;198;-;1;-;199
351220 Conchal;-;21;-;-;1;2025;-;-;-;2047
351230 Conchas;-;-;-;-;-;818;14;1;-;833
351240 Cordeirópolis;-;-;-;-;-;632;1;1;-;634
351250 Coroados;-;27;-;-;-;19;1;-;1;48
351260 Coronel Macedo;-;-;-;-;-;6;-;-;-;6
351270 Corumbataí;-;-;-;-;-;118;1;-;-;119
351280 Cosmópolis;-;2;-;-;-;146;2;-;-;150
351290 Cosmorama;-;-;-;-;-;72;-;-;-;72
351300 Cotia;-;5;-;-;-;1302;1;-;3;1311
